catcherid,balls,strikes,is_lhb,is_lhp,is_strike,is_swing,is_miss,is_ballinplay,px,pz,SpinRate,InducedVerticalBreak,HorizontalBreak,Pitch_Type
2,0,0,1,0,0,0,0,0,0.927,1.94,2012.636106,8.768747976,13.84404987,TwoSeam Fastball
2,1,0,1,0,1,1,1,0,0.407,2.147,1775.731442,16.94307678,11.74327415,Changeup
2,1,1,1,0,0,1,0,1,1.12,1.751,2109.041379,9.577536276,18.38168949,TwoSeam Fastball
2,0,0,0,0,1,0,0,0,-0.528,2.388,2095.390012,11.28174465,14.09950966,TwoSeam Fastball
2,0,1,0,0,0,0,0,0,-1.314,1.885,2147.782346,11.80885189,13.52362388,TwoSeam Fastball
2,1,1,0,0,1,1,0,0,-0.934,0.925,2333.7384,-1.339764426,-7.436282218,Curveball
2,1,2,0,0,1,1,1,0,-1.738,2.288,2120.750363,8.801928213,-1.965259612,Slider
2,0,0,1,0,1,0,0,0,-0.082,1.751,2253.275022,-1.984898398,-6.354038298,Curveball
2,0,1,1,0,0,0,0,0,0.699,1.564,2156.340207,11.56355922,15.36803097,TwoSeam Fastball
2,1,1,1,0,0,1,0,1,-0.634,2.168,2215.535764,12.30022781,7.953644216,FourSeam Fastball
2,0,0,0,0,1,0,0,0,-0.809,3.166,2048.260495,6.80158489,-2.786061347,Slider
2,0,1,0,0,0,0,0,0,-1.498,0.815,2115.327268,6.205460241,-3.678321898,Slider
2,1,1,0,0,0,0,0,0,0.898,2.205,2175.195188,12.4107167,13.48862594,TwoSeam Fastball
2,2,1,0,0,1,0,0,0,-1.163,2.967,2065.649777,3.850990465,-0.045349956,Slider
2,2,2,0,0,0,0,0,0,0.489,0.499,1673.242917,8.29941242,15.8840813,Changeup
2,3,2,0,0,1,1,0,0,-0.864,2.07,2061.798459,6.30636852,-1.825832307,Slider
2,3,2,0,0,1,1,1,0,0.455,2.244,2137.263059,8.459788969,17.69584888,TwoSeam Fastball
2,0,0,1,0,1,0,0,0,0.425,1.81,2216.21594,-0.993691156,-6.388800204,Curveball
2,0,1,1,0,0,1,0,1,-0.165,3.165,2172.910275,16.37289779,5.331014097,FourSeam Fastball
2,0,0,0,0,1,0,0,0,-0.29,2.443,2232.849729,0.748078277,-4.388866007,Curveball
2,0,1,0,0,0,0,0,0,-1.499,2.079,2051.584592,7.199379614,-3.261758626,Slider
2,1,1,0,0,1,1,1,0,-1.248,1.631,2018.554563,7.746837785,-0.744750321,Slider
2,1,2,0,0,0,0,0,0,0.166,0.314,1644.641721,9.654111555,14.42126316,Changeup
2,2,2,0,0,0,1,0,1,0.291,1.723,1764.342282,7.604627779,15.12479633,Changeup
2,0,0,0,0,1,1,0,0,0.991,3.059,2122.102902,8.907227209,16.14489979,TwoSeam Fastball
2,0,1,0,0,0,1,0,1,0.848,1.915,2183.499143,10.68245189,15.23076767,TwoSeam Fastball
2,0,0,0,0,0,1,0,1,-0.249,2.889,2182.206906,-2.188411066,-5.687100947,Curveball
2,0,0,0,0,1,0,0,0,0.677,2.049,2112.923215,7.178689649,18.7740044,TwoSeam Fastball
2,0,1,0,0,0,0,0,0,0.067,1.608,2072.468625,8.10347431,16.24159855,TwoSeam Fastball
2,1,1,0,0,1,1,0,0,0.19,2.248,2136.851926,9.476067236,17.97250026,TwoSeam Fastball
2,1,2,0,0,0,0,0,0,-0.997,1.013,2730.767941,-10.2645467,-4.985319197,Curveball
2,2,2,0,0,1,1,1,0,1.236,1.832,2087.43176,6.293400934,18.7524628,TwoSeam Fastball
2,0,0,1,0,0,0,0,0,1.357,4.042,2180.016721,10.20078724,15.44506496,TwoSeam Fastball
